$STRAFE_LEFT                                         -> Strafe Left; Context: FREE_IN_SPACE
$STRAFE_RIGHT                                        -> Strafe right; Context: FREE_IN_SPACE
$FORWARD                                             -> Forward; Context: FREE_IN_SPACE
$BACKWARDS                                           -> Backwards; Context: FREE_IN_SPACE
$UP                                                  -> Strafe Up; Context: FREE_IN_SPACE
$DOWN                                                -> Strafe Down; Context: FREE_IN_SPACE
$STRAFE_LEFT_SHIP                                    -> Strafe Left; Context: SHIP_FLIGHT_MODE
$STRAFE_RIGHT_SHIP                                   -> Strafe right; Context: SHIP_FLIGHT_MODE
$FORWARD_SHIP                                        -> Forward; Context: SHIP_FLIGHT_MODE
$BACKWARDS_SHIP                                      -> Backwards; Context: SHIP_FLIGHT_MODE
$UP_SHIP                                             -> Strafe Up; Context: SHIP_FLIGHT_MODE
$DOWN_SHIP                                           -> Strafe Down; Context: SHIP_FLIGHT_MODE
$ROTATE_LEFT_SHIP                                    -> Rotate Left; Context: SHIP_FLIGHT_MODE
$ROTATE_RIGHT_SHIP                                   -> Rotate Right; Context: SHIP_FLIGHT_MODE
$SERVER_INFO                                         -> Server Info / Player List; Context: GENERAL
$DROP_ITEM                                           -> Drop Item; Context: GENERAL
$RECORD_GIF                                          -> Record GIF animation; Context: GENERAL
$NETWORK_STATS_PANEL                                 -> Open network stat panel; Context: GENERAL
$LAG_STATS_PANEL                                     -> Open network stat panel; Context: GENERAL
$OBJECT_VIEW_CAM                                     -> Auto-rotation camera; Context: GENERAL
$SCROLL_MOUSE_ZOOM                                   -> Wheel scroll zoom; Context: GENERAL
$SCROLL_BOTTOM_BAR                                   -> Wheel/Number weapon bar switch; Context: SHIP_FLIGHT_MODE
$BRAKE                                               -> Brake; Context: SHIP_FLIGHT_MODE
$ROLL                                                -> Roll Ship; Context: SHIP_FLIGHT_MODE
$CHANGE_SHIP_MODE                                    -> Change Ship Mode; Context: SHIP_GENERAL
$JUMP                                                -> Jump; Context: CHARACTER_IN_GRAVITY
$GRAPPLING_HOOK                                      -> Grapple (Align to ship); Context: FREE_IN_SPACE
$WALK                                                -> Walk; Context: FREE_IN_SPACE
$JUMP_TO_MODULE                                      -> Jump to module; Context: SHIP_BUILD_MODE
$REBOOT_SYSTEMS                                      -> Reboot Systems; Context: SHIP_GENERAL
